ID,Customer_Age,Churn,CHI_Score_Month,CHI_Score,Support_Cases_Month,Support_Cases,SP_Month,SP,Logins,Blog_Articles,Views, Days_Since_Last_Login
 1 ,67,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 2 ,67,0,62.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,31.00
 3 ,55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 4 ,63,0,231.00,1.00,1.00,-1.00,3.00,0.00,167.00,-8.00,21996.00,0.00
 5 ,57,0,43.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,31.00
 6 ,58,0,138.00,-10.00,0.00,0.00,0.00,0.00,43.00,0.00,-33.00,0.00
 7 ,57,0,180.00,-5.00,1.00,1.00,3.00,3.00,13.00,-1.00,907.00,0.00
 8 ,46,0,116.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,6.00
 9 ,56,0,78.00,-7.00,1.00,-2.00,3.00,0.00,-9.00,1.00,0.00,7.00
 10 ,56,0,78.00,-37.00,0.00,0.00,0.00,0.00,-7.00,0.00,30.00,14.00
 11 ,53,0,91.00,-1.00,0.00,0.00,0.00,0.00,14.00,3.00,0.00,0.00
 12 ,56,0,40.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,31.00
 13 ,57,0,215.00,15.00,0.00,0.00,0.00,0.00,71.00,9.00,8658.00,0.00
 14 ,57,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 15 ,55,0,118.00,63.00,0.00,0.00,0.00,0.00,5.00,1.00,995.00,0.00
 16 ,56,0,59.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,31.00
 17 ,52,0,67.00,25.00,0.00,0.00,0.00,0.00,4.00,0.00,77.00,31.00
 18 ,55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,31.00
 19 ,54,0,258.00,-4.00,1.00,0.00,3.00,0.00,34.00,6.00,149.00,0.00
 20 ,54,0,89.00,-12.00,1.00,1.00,3.00,3.00,-41.00,-8.00,-29.00,0.00
 21 ,54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 22 ,54,0,142.00,1.00,0.00,0.00,0.00,0.00,26.00,1.00,-4.00,13.00
 23 ,53,0,86.00,10.00,0.00,0.00,0.00,0.00,2.00,0.00,-53.00,-31.00
 24 ,53,0,100.00,5.00,0.00,-1.00,0.00,-3.00,0.00,0.00,-8.00,2.00
 25 ,53,0,103.00,-12.00,0.00,0.00,0.00,0.00,-6.00,-1.00,40.00,-1.00
 26 ,46,0,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00
 27 ,53,0,182.00,8.00,8.00,6.00,3.00,-0.50,38.00,1.00,671.00,0.00
 28 ,53,0,230.00,0.00,0.00,0.00,0.00,0.00,84.00,3.00,13043.00,0.00
 29 ,52,0,179.00,-22.00,2.00,1.00,3.00,0.00,10.00,-2.00,5.00,-1.00
 30 ,53,0,48.00,-10.00,0.00,0.00,0.00,0.00,-15.00,0.00,12.00,-18.00
 31 ,52,0,99.00,-6.00,0.00,0.00,0.00,0.00,-8.00,0.00,-23.00,-31.00
 32 ,32,0,67.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 33 ,52,0,160.00,10.00,3.00,3.00,3.00,3.00,12.00,0.00,481.00,4.00
 34 ,52,0,91.00,50.00,4.00,1.00,3.00,0.00,26.00,0.00,0.00,-11.00
 35 ,52,0,105.00,1.00,0.00,0.00,0.00,0.00,14.00,1.00,0.00,0.00
 36 ,52,0,93.00,-29.00,0.00,0.00,0.00,0.00,-7.00,1.00,4682.00,0.00
 37 ,51,0,143.00,-32.00,4.00,1.00,2.50,0.17,61.00,-1.00,67.00,0.00
 38 ,50,0,108.00,40.00,1.00,1.00,3.00,3.00,43.00,0.00,16.00,0.00
 39 ,52,0,168.00,-5.00,8.00,-3.00,3.00,0.00,62.00,2.00,589.00,-31.00
 40 ,52,0,186.00,-4.00,2.00,1.00,2.50,-0.50,86.00,-3.00,2139.00,4.00
 41 ,52,0,75.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00
 42 ,51,0,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 43 ,49,0,124.00,34.00,0.00,0.00,0.00,0.00,10.00,0.00,-188.00,31.00
 44 ,43,0,147.00,-7.00,1.00,1.00,3.00,3.00,-25.00,-2.00,138.00,-1.00
 45 ,51,0,134.00,1.00,3.00,2.00,3.00,0.00,10.00,0.00,0.00,0.00
 46 ,51,0,77.00,-1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-81.00,-6.00
 47 ,48,0,57.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,2379.00,31.00
 48 ,50,0,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-300.00,31.00
 49 ,44,0,51.00,-1.00,1.00,-1.00,3.00,0.00,-12.00,0.00,0.00,-133.00
 50 ,49,0,85.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-12.00
 51 ,49,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 52 ,45,0,87.00,-3.00,1.00,1.00,3.00,3.00,9.00,0.00,0.00,-143.00
 53 ,49,0,210.00,2.00,2.00,-3.00,2.50,-0.50,181.00,-3.00,724.00,0.00
 54 ,47,1,122.00,2.00,3.00,-6.00,3.00,0.00,-31.00,0.00,122.00,0.00
 55 ,48,0,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
 56 ,49,0,179.00,14.00,1.00,1.00,3.00,3.00,54.00,-1.00,-124.00,-1.00
 57 ,49,0,0.00,-21.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,4.00
 58 ,35,0,152.00,0.00,0.00,0.00,0.00,0.00,-13.00,0.00,82.00,0.00
 59 ,46,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 60 ,47,1,0.00,-26.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,-53.00
